,geography,geographic_area_name,occupied_housing_units,occupied_housing_units_moe,median_monthly_costs_occupied_units,median_monthly_costs_occupied_units_moe,occupied_units_percentage,occupied_units_percentage_moe,owner_occupied_units,owner_occupied_units_moe,median_monthly_costs_owner_occupied,median_monthly_costs_owner_occupied_moe,owner_occupied_units_percentage,owner_occupied_units_percentage_moe,median_monthly_costs_owner_percentage,median_monthly_costs_owner_percentage_moe,renter_occupied_units,renter_occupied_units_moe,no_cash_rent_renter_units,no_cash_rent_renter_units_moe,median_monthly_costs_renter_units,median_monthly_costs_renter_units_moe,renter_occupied_units_percentage,renter_occupied_units_percentage_moe,median_monthly_costs_renter_percentage,median_monthly_costs_renter_percentage_moe
0,1400000US12001000201,Census Tract 2.01; Alachua County; Florida,1960,365,878,113,1960,365,151,78,612,343,151,78,612,343,1809,362,40,52,893,184,1809,362,893,184
153,1400000US13027960600,Census Tract 9606; Brooks County; Georgia,1021,171,557,180,1021,171,766,156,467,128,766,156,467,128,255,120,121,73,1303,589,255,120,1303,589
154,1400000US13029920101,Census Tract 9201.01; Bryan County; Georgia,1815,199,966,129,1815,199,1495,199,952,197,1495,199,952,197,320,146,29,25,981,131,320,146,981,131
155,1400000US13029920103,Census Tract 9201.03; Bryan County; Georgia,1582,180,929,64,1582,180,1103,168,914,109,1103,168,914,109,479,118,50,39,951,104,479,118,951,104
156,1400000US13029920104,Census Tract 9201.04; Bryan County; Georgia,545,258,1114,424,545,258,413,227,1375,1199,413,227,1375,1199,132,174,0,14,-,**,132,174,-,**
157,1400000US13029920301,Census Tract 9203.01; Bryan County; Georgia,598,89,1125,171,598,89,492,83,1043,535,492,83,1043,535,106,65,5,9,1691,755,106,65,1691,755
158,1400000US13029920303,Census Tract 9203.03; Bryan County; Georgia,2521,299,1350,122,2521,299,1248,290,1274,202,1248,290,1274,202,1273,274,0,20,1505,215,1273,274,1505,215
159,1400000US13029920305,Census Tract 9203.05; Bryan County; Georgia,1797,357,2004,191,1797,357,1578,364,1941,251,1578,364,1941,251,219,93,8,16,2180,104,219,93,2180,104
160,1400000US13029920307,Census Tract 9203.07; Bryan County; Georgia,2662,272,2393,118,2662,272,2471,296,2400,132,2471,296,2400,132,191,137,85,96,2310,203,191,137,2310,203
161,1400000US13029920308,Census Tract 9203.08; Bryan County; Georgia,3735,385,1737,152,3735,385,2798,289,1767,233,2798,289,1767,233,937,295,0,23,1564,210,937,295,1564,210
162,1400000US13029980000,Census Tract 9800; Bryan County; Georgia,0,14,-,**,0,14,0,14,-,**,0,14,-,**,0,14,0,14,-,**,0,14,-,**
163,1400000US13031110100,Census Tract 1101; Bulloch County; Georgia,1376,197,614,120,1376,197,1068,224,540,115,1068,224,540,115,308,112,92,72,958,99,308,112,958,99
164,1400000US13031110201,Census Tract 1102.01; Bulloch County; Georgia,1420,220,938,114,1420,220,1023,256,881,268,1023,256,881,268,397,171,23,41,1050,74,397,171,1050,74
165,1400000US13031110202,Census Tract 1102.02; Bulloch County; Georgia,1940,340,917,127,1940,340,1203,293,964,496,1203,293,964,496,737,207,20,31,910,220,737,207,910,220
166,1400000US13031110301,Census Tract 1103.01; Bulloch County; Georgia,1568,217,921,136,1568,217,1123,237,839,445,1123,237,839,445,445,148,171,122,932,34,445,148,932,34
167,1400000US13031110302,Census Tract 1103.02; Bulloch County; Georgia,1902,300,1197,199,1902,300,1299,336,1417,399,1299,336,1417,399,603,240,110,98,905,171,603,240,905,171
168,1400000US13031110401,Census Tract 1104.01; Bulloch County; Georgia,1946,267,900,121,1946,267,404,125,905,640,404,125,905,640,1542,268,135,115,898,134,1542,268,898,134
169,1400000US13031110405,Census Tract 1104.05; Bulloch County; Georgia,2130,227,890,76,2130,227,58,69,-,**,58,69,-,**,2072,213,0,20,900,78,2072,213,900,78
170,1400000US13031110406,Census Tract 1104.06; Bulloch County; Georgia,881,297,690,464,881,297,120,88,438,122,120,88,438,122,761,299,0,14,1001,710,761,299,1001,710
171,1400000US13031110407,Census Tract 1104.07; Bulloch County; Georgia,277,92,761,52,277,92,3,5,-,**,3,5,-,**,274,91,9,11,759,52,274,91,759,52
172,1400000US13031110408,Census Tract 1104.08; Bulloch County; Georgia,651,112,746,181,651,112,34,18,465,23,34,18,465,23,617,112,0,14,807,182,617,112,807,182
173,1400000US13031110500,Census Tract 1105; Bulloch County; Georgia,2070,366,966,111,2070,366,572,179,988,396,572,179,988,396,1498,326,101,98,963,106,1498,326,963,106
174,1400000US13031110602,Census Tract 1106.02; Bulloch County; Georgia,1843,207,778,94,1843,207,701,175,945,190,701,175,945,190,1142,214,182,107,724,56,1142,214,724,56
175,1400000US13031110603,Census Tract 1106.03; Bulloch County; Georgia,1900,345,1125,152,1900,345,920,221,1051,274,920,221,1051,274,980,289,88,90,1280,207,980,289,1280,207
176,1400000US13031110604,Census Tract 1106.04; Bulloch County; Georgia,1514,233,927,90,1514,233,656,122,910,518,656,122,910,518,858,227,0,14,936,69,858,227,936,69
177,1400000US13031110701,Census Tract 1107.01; Bulloch County; Georgia,2069,294,1314,130,2069,294,1275,232,1174,71,1275,232,1174,71,794,255,72,97,1605,174,794,255,1605,174
178,1400000US13031110702,Census Tract 1107.02; Bulloch County; Georgia,1201,260,964,275,1201,260,939,243,952,377,939,243,952,377,262,125,12,22,1029,435,262,125,1029,435
179,1400000US13031110703,Census Tract 1107.03; Bulloch County; Georgia,995,259,936,105,995,259,742,214,884,121,742,214,884,121,253,153,0,14,980,439,253,153,980,439
180,1400000US13031110800,Census Tract 1108; Bulloch County; Georgia,1025,165,891,74,1025,165,703,139,782,236,703,139,782,236,322,143,16,17,926,72,322,143,926,72
181,1400000US13031110901,Census Tract 1109.01; Bulloch County; Georgia,1742,288,711,176,1742,288,1457,288,625,283,1457,288,625,283,285,143,114,94,891,602,285,143,891,602
182,1400000US13031110902,Census Tract 1109.02; Bulloch County; Georgia,1184,202,621,376,1184,202,1037,197,513,318,1037,197,513,318,147,114,60,76,1590,1187,147,114,1590,1187
183,1400000US13033950101,Census Tract 9501.01; Burke County; Georgia,906,209,509,345,906,209,736,216,375,228,736,216,375,228,170,107,27,33,905,551,170,107,905,551
184,1400000US13033950102,Census Tract 9501.02; Burke County; Georgia,1004,267,970,209,1004,267,828,242,943,313,828,242,943,313,176,141,27,42,992,453,176,141,992,453
185,1400000US13033950200,Census Tract 9502; Burke County; Georgia,1066,182,451,127,1066,182,978,187,429,129,978,187,429,129,88,58,36,38,1083,977,88,58,1083,977
186,1400000US13033950400,Census Tract 9504; Burke County; Georgia,1765,244,819,72,1765,244,1001,200,805,126,1001,200,805,126,764,233,73,71,828,90,764,233,828,90
187,1400000US13033950500,Census Tract 9505; Burke County; Georgia,1906,239,598,145,1906,239,1199,282,559,261,1199,282,559,261,707,197,96,84,653,400,707,197,653,400
188,1400000US13033950700,Census Tract 9507; Burke County; Georgia,1364,323,418,96,1364,323,1188,332,394,64,1188,332,394,64,176,79,29,24,708,151,176,79,708,151
189,1400000US13033950900,Census Tract 9509; Burke County; Georgia,902,187,636,125,902,187,539,135,484,153,539,135,484,153,363,131,155,84,680,36,363,131,680,36
190,1400000US13035150101,Census Tract 1501.01; Butts County; Georgia,1655,248,899,153,1655,248,1346,247,887,335,1346,247,887,335,309,167,13,24,914,82,309,167,914,82
191,1400000US13035150102,Census Tract 1501.02; Butts County; Georgia,1988,306,921,80,1988,306,1579,268,842,236,1579,268,842,236,409,194,110,79,971,88,409,194,971,88
192,1400000US13035150201,Census Tract 1502.01; Butts County; Georgia,1640,241,732,126,1640,241,857,171,691,382,857,171,691,382,783,216,0,14,747,171,783,216,747,171
193,1400000US13035150202,Census Tract 1502.02; Butts County; Georgia,1064,199,970,227,1064,199,846,213,935,310,846,213,935,310,218,127,0,14,1053,641,218,127,1053,641
194,1400000US13035150300,Census Tract 1503; Butts County; Georgia,2136,209,1048,150,2136,209,1662,251,904,205,1662,251,904,205,474,181,57,60,1279,139,474,181,1279,139
195,1400000US13037950100,Census Tract 9501; Calhoun County; Georgia,494,74,505,82,494,74,349,67,502,92,349,67,502,92,145,55,50,32,542,300,145,55,542,300
196,1400000US13037950200,Census Tract 9502; Calhoun County; Georgia,1003,126,716,65,1003,126,631,116,793,249,631,116,793,249,372,97,50,37,693,59,372,97,693,59
197,1400000US13039010100,Census Tract 101; Camden County; Georgia,1241,220,659,236,1241,220,1016,186,637,66,1016,186,637,66,225,117,36,53,1016,144,225,117,1016,144
198,1400000US13039010201,Census Tract 102.01; Camden County; Georgia,769,144,711,134,769,144,581,123,695,163,581,123,695,163,188,78,14,21,763,152,188,78,763,152
199,1400000US13039010202,Census Tract 102.02; Camden County; Georgia,904,128,913,255,904,128,817,135,802,296,817,135,802,296,87,44,0,14,1086,279,87,44,1086,279
200,1400000US13039010302,Census Tract 103.02; Camden County; Georgia,1607,178,925,268,1607,178,1139,181,882,245,1139,181,882,245,468,133,59,67,1061,298,468,133,1061,298
201,1400000US13039010303,Census Tract 103.03; Camden County; Georgia,1259,161,1053,116,1259,161,816,173,1138,80,816,173,1138,80,443,153,12,18,843,63,443,153,843,63
202,1400000US13039010304,Census Tract 103.04; Camden County; Georgia,1307,223,1011,335,1307,223,798,239,1019,350,798,239,1019,350,509,162,92,106,974,483,509,162,974,483
203,1400000US13039010305,Census Tract 103.05; Camden County; Georgia,829,188,980,125,829,188,508,151,990,469,508,151,990,469,321,153,37,38,972,143,321,153,972,143
204,1400000US13039010403,Census Tract 104.03; Camden County; Georgia,1583,197,1339,81,1583,197,1367,142,1299,166,1367,142,1299,166,216,154,0,14,1383,31,216,154,1383,31
205,1400000US13039010404,Census Tract 104.04; Camden County; Georgia,1914,174,1235,88,1914,174,1080,234,1404,207,1080,234,1404,207,834,202,0,20,1116,141,834,202,1116,141
206,1400000US13039010405,Census Tract 104.05; Camden County; Georgia,2602,321,1221,92,2602,321,1256,214,1209,181,1256,214,1209,181,1346,324,71,106,1228,127,1346,324,1228,127
207,1400000US13039010406,Census Tract 104.06; Camden County; Georgia,846,150,1860,173,846,150,709,167,1792,305,709,167,1792,305,137,95,5,10,2125,637,137,95,2125,637
208,1400000US13039010407,Census Tract 104.07; Camden County; Georgia,1526,180,1364,117,1526,180,1298,188,1330,133,1298,188,1330,133,228,100,23,35,1639,274,228,100,1639,274
209,1400000US13039010500,Census Tract 105; Camden County; Georgia,675,194,1297,147,675,194,0,14,-,**,0,14,-,**,675,194,38,64,1297,147,675,194,1297,147
210,1400000US13039010602,Census Tract 106.02; Camden County; Georgia,525,126,1189,270,525,126,441,119,1302,280,441,119,1302,280,84,75,0,14,826,598,84,75,826,598
211,1400000US13039010603,Census Tract 106.03; Camden County; Georgia,1248,194,1085,180,1248,194,891,172,883,227,891,172,883,227,357,131,0,14,1190,144,357,131,1190,144
212,1400000US13039010604,Census Tract 106.04; Camden County; Georgia,1510,232,1006,185,1510,232,505,185,958,174,505,185,958,174,1005,249,28,45,1032,255,1005,249,1032,255
213,1400000US13039990000,Census Tract 9900; Camden County; Georgia,0,14,-,**,0,14,0,14,-,**,0,14,-,**,0,14,0,14,-,**,0,14,-,**
214,1400000US13043950100,Census Tract 9501; Candler County; Georgia,2044,147,538,57,2044,147,976,174,476,116,976,174,476,116,1068,193,181,78,653,195,1068,193,653,195
215,1400000US13043950200,Census Tract 9502; Candler County; Georgia,1246,156,615,145,1246,156,853,156,500,157,853,156,500,157,393,150,33,43,740,290,393,150,740,290
216,1400000US13043950300,Census Tract 9503; Candler County; Georgia,813,114,735,96,813,114,670,122,718,130,670,122,718,130,143,67,70,43,739,131,143,67,739,131
217,1400000US13045910101,Census Tract 9101.01; Carroll County; Georgia,2241,249,1259,108,2241,249,1207,217,1313,160,1207,217,1313,160,1034,253,0,20,1213,118,1034,253,1213,118
218,1400000US13045910103,Census Tract 9101.03; Carroll County; Georgia,1828,174,1120,109,1828,174,1507,180,1066,145,1507,180,1066,145,321,128,10,16,1220,239,321,128,1220,239
219,1400000US13045910105,Census Tract 9101.05; Carroll County; Georgia,1545,253,1180,116,1545,253,1262,274,1150,102,1262,274,1150,102,283,135,78,79,1384,265,283,135,1384,265
220,1400000US13045910106,Census Tract 9101.06; Carroll County; Georgia,2088,373,1053,155,2088,373,1218,281,866,109,1218,281,866,109,870,348,33,38,1313,153,870,348,1313,153
221,1400000US13045910201,Census Tract 9102.01; Carroll County; Georgia,1121,173,1201,83,1121,173,997,184,1207,96,997,184,1207,96,124,119,11,26,1172,294,124,119,1172,294
222,1400000US13045910202,Census Tract 9102.02; Carroll County; Georgia,1911,288,1064,139,1911,288,1729,289,1038,206,1729,289,1038,206,182,116,0,20,1122,60,182,116,1122,60
223,1400000US13045910203,Census Tract 9102.03; Carroll County; Georgia,1698,417,1307,274,1698,417,1544,402,1323,326,1544,402,1323,326,154,113,31,49,1263,972,154,113,1263,972
224,1400000US13045910301,Census Tract 9103.01; Carroll County; Georgia,1156,130,958,90,1156,130,827,199,890,137,827,199,890,137,329,135,70,81,1047,97,329,135,1047,97
225,1400000US13045910302,Census Tract 9103.02; Carroll County; Georgia,1428,263,832,188,1428,263,1264,259,761,172,1264,259,761,172,164,94,26,28,1256,202,164,94,1256,202
226,1400000US13045910400,Census Tract 9104; Carroll County; Georgia,1412,140,720,73,1412,140,1104,170,700,103,1104,170,700,103,308,88,13,12,734,64,308,88,734,64
227,1400000US13045910502,Census Tract 9105.02; Carroll County; Georgia,1249,254,807,78,1249,254,156,79,906,676,156,79,906,676,1093,263,19,23,806,75,1093,263,806,75
228,1400000US13045910503,Census Tract 9105.03; Carroll County; Georgia,1392,291,974,247,1392,291,566,219,563,190,566,219,563,190,826,219,0,14,1122,97,826,219,1122,97
229,1400000US13045910504,Census Tract 9105.04; Carroll County; Georgia,786,220,991,397,786,220,439,220,1414,754,439,220,1414,754,347,155,50,93,833,337,347,155,833,337
230,1400000US13045910600,Census Tract 9106; Carroll County; Georgia,2309,317,1137,112,2309,317,1255,295,886,428,1255,295,886,428,1054,285,208,172,1283,289,1054,285,1283,289
231,1400000US13045910704,Census Tract 9107.04; Carroll County; Georgia,1107,120,1277,163,1107,120,836,135,1383,183,836,135,1383,183,271,139,51,50,1098,248,271,139,1098,248
232,1400000US13045910705,Census Tract 9107.05; Carroll County; Georgia,1909,218,986,79,1909,218,1008,219,834,53,1008,219,834,53,901,225,58,77,1102,91,901,225,1102,91
233,1400000US13045910706,Census Tract 9107.06; Carroll County; Georgia,1918,280,1199,200,1918,280,1802,282,1183,230,1802,282,1183,230,116,75,0,20,1318,185,116,75,1318,185
234,1400000US13045910707,Census Tract 9107.07; Carroll County; Georgia,1827,208,1116,75,1827,208,1587,247,1103,54,1587,247,1103,54,240,167,0,14,1319,521,240,167,1319,521
235,1400000US13045910708,Census Tract 9107.08; Carroll County; Georgia,1704,298,885,83,1704,298,813,162,990,131,813,162,990,131,891,280,0,14,816,275,891,280,816,275
236,1400000US13045910709,Census Tract 9107.09; Carroll County; Georgia,1422,205,1018,216,1422,205,1106,182,832,156,1106,182,832,156,316,154,6,10,1462,360,316,154,1462,360
237,1400000US13045910800,Census Tract 9108; Carroll County; Georgia,1516,270,639,123,1516,270,1252,270,631,147,1252,270,631,147,264,97,75,46,749,207,264,97,749,207
238,1400000US13045910900,Census Tract 9109; Carroll County; Georgia,1674,253,760,146,1674,253,1359,240,673,203,1359,240,673,203,315,130,46,48,842,93,315,130,842,93
239,1400000US13045911001,Census Tract 9110.01; Carroll County; Georgia,1294,132,894,337,1294,132,836,154,1055,501,836,154,1055,501,458,152,0,14,876,103,458,152,876,103
240,1400000US13045911002,Census Tract 9110.02; Carroll County; Georgia,1297,278,1002,154,1297,278,487,109,913,366,487,109,913,366,810,290,75,89,1042,186,810,290,1042,186
241,1400000US13045911101,Census Tract 9111.01; Carroll County; Georgia,2065,289,931,97,2065,289,919,261,1062,287,919,261,1062,287,1146,240,9,14,890,121,1146,240,890,121
242,1400000US13045911102,Census Tract 9111.02; Carroll County; Georgia,1043,154,1145,181,1043,154,821,129,1214,172,821,129,1214,172,222,143,20,33,958,224,222,143,958,224
243,1400000US13045911201,Census Tract 9112.01; Carroll County; Georgia,900,235,1016,348,900,235,554,171,1280,303,554,171,1280,303,346,166,26,41,731,128,346,166,731,128
244,1400000US13045911202,Census Tract 9112.02; Carroll County; Georgia,1156,229,546,139,1156,229,884,254,526,51,884,254,526,51,272,140,30,37,885,111,272,140,885,111
245,1400000US13047030100,Census Tract 301; Catoosa County; Georgia,2442,274,856,188,2442,274,1847,290,823,275,1847,290,823,275,595,184,39,43,892,179,595,184,892,179
246,1400000US13047030201,Census Tract 302.01; Catoosa County; Georgia,1982,288,1032,99,1982,288,1365,241,1108,60,1365,241,1108,60,617,157,10,16,894,83,617,157,894,83
247,1400000US13047030202,Census Tract 302.02; Catoosa County; Georgia,2478,349,1034,112,2478,349,2155,365,1073,90,2155,365,1073,90,323,143,0,20,760,213,323,143,760,213
248,1400000US13047030303,Census Tract 303.03; Catoosa County; Georgia,1415,332,1208,253,1415,332,1227,340,1268,236,1227,340,1268,236,188,94,0,14,960,232,188,94,960,232
249,1400000US13047030304,Census Tract 303.04; Catoosa County; Georgia,1355,168,1118,144,1355,168,1204,170,1154,172,1204,170,1154,172,151,69,19,32,1005,365,151,69,1005,365
250,1400000US13047030305,Census Tract 303.05; Catoosa County; Georgia,680,93,1259,129,680,93,617,81,1286,128,617,81,1286,128,63,59,0,14,1121,428,63,59,1121,428
251,1400000US13047030306,Census Tract 303.06; Catoosa County; Georgia,1914,214,1029,136,1914,214,1571,229,1066,216,1571,229,1066,216,343,164,32,34,978,101,343,164,978,101
252,1400000US13047030402,Census Tract 304.02; Catoosa County; Georgia,2308,270,1070,128,2308,270,1906,310,1107,117,1906,310,1107,117,402,176,79,97,944,134,402,176,944,134
253,1400000US13047030403,Census Tract 304.03; Catoosa County; Georgia,1790,200,1156,101,1790,200,1643,194,1175,100,1643,194,1175,100,147,86,28,33,674,227,147,86,674,227
254,1400000US13047030404,Census Tract 304.04; Catoosa County; Georgia,942,192,1014,275,942,192,820,180,1047,365,820,180,1047,365,122,80,24,29,937,268,122,80,937,268
255,1400000US13047030501,Census Tract 305.01; Catoosa County; Georgia,1180,163,805,107,1180,163,866,152,735,250,866,152,735,250,314,121,0,14,885,220,314,121,885,220
256,1400000US13047030502,Census Tract 305.02; Catoosa County; Georgia,1813,256,869,109,1813,256,1251,208,829,201,1251,208,829,201,562,225,8,18,913,259,562,225,913,259
257,1400000US13047030600,Census Tract 306; Catoosa County; Georgia,1953,336,844,92,1953,336,1304,252,692,118,1304,252,692,118,649,295,32,33,982,71,649,295,982,71
258,1400000US13047030701,Census Tract 307.01; Catoosa County; Georgia,1434,209,937,43,1434,209,723,190,742,379,723,190,742,379,711,249,27,34,958,33,711,249,958,33
259,1400000US13047030702,Census Tract 307.02; Catoosa County; Georgia,2089,316,854,126,2089,316,809,266,1253,409,809,266,1253,409,1280,306,86,88,806,97,1280,306,806,97
260,1400000US13049010101,Census Tract 101.01; Charlton County; Georgia,1296,203,603,161,1296,203,1098,188,595,159,1098,188,595,159,198,85,51,36,725,213,198,85,725,213
261,1400000US13049010102,Census Tract 101.02; Charlton County; Georgia,1616,287,721,291,1616,287,961,232,708,350,961,232,708,350,655,264,24,34,741,415,655,264,741,415
262,1400000US13049010200,Census Tract 102; Charlton County; Georgia,1131,150,466,33,1131,150,930,143,445,52,930,143,445,52,201,110,94,82,445,440,201,110,445,440
263,1400000US13051000601,Census Tract 6.01; Chatham County; Georgia,1354,207,821,132,1354,207,425,141,492,70,425,141,492,70,929,214,72,66,1092,222,929,214,1092,222
264,1400000US13051001100,Census Tract 11; Chatham County; Georgia,871,163,1186,104,871,163,229,56,1155,241,229,56,1155,241,642,173,16,18,1194,121,642,173,1194,121
265,1400000US13051001200,Census Tract 12; Chatham County; Georgia,750,118,769,79,750,118,61,34,1199,398,61,34,1199,398,689,123,95,70,751,63,689,123,751,63
266,1400000US13051002000,Census Tract 20; Chatham County; Georgia,744,129,1142,103,744,129,212,71,1091,201,212,71,1091,201,532,133,39,34,1161,129,532,133,1161,129
267,1400000US13051002100,Census Tract 21; Chatham County; Georgia,941,123,1398,135,941,123,352,130,1213,634,352,130,1213,634,589,120,62,77,1410,107,589,120,1410,107
268,1400000US13051002200,Census Tract 22; Chatham County; Georgia,1689,247,1042,130,1689,247,625,142,926,112,625,142,926,112,1064,244,71,52,1112,146,1064,244,1112,146
269,1400000US13051002300,Census Tract 23; Chatham County; Georgia,764,112,876,120,764,112,283,75,594,229,283,75,594,229,481,105,25,29,1017,109,481,105,1017,109
270,1400000US13051002600,Census Tract 26; Chatham County; Georgia,738,123,1402,180,738,123,305,98,1497,232,305,98,1497,232,433,93,10,13,1326,230,433,93,1326,230
271,1400000US13051002700,Census Tract 27; Chatham County; Georgia,1294,294,961,187,1294,294,732,225,645,99,732,225,645,99,562,198,26,42,1277,104,562,198,1277,104
272,1400000US13051002800,Census Tract 28; Chatham County; Georgia,1059,149,1128,68,1059,149,251,76,-,**,251,76,-,**,808,164,44,41,1181,92,808,164,1181,92
273,1400000US13051002900,Census Tract 29; Chatham County; Georgia,1297,120,1893,120,1297,120,1076,141,1971,168,1076,141,1971,168,221,74,14,22,1239,228,221,74,1239,228
274,1400000US13051003000,Census Tract 30; Chatham County; Georgia,859,118,1721,135,859,118,553,118,1786,191,553,118,1786,191,306,99,24,26,1608,166,306,99,1608,166
275,1400000US13051003301,Census Tract 33.01; Chatham County; Georgia,653,69,827,148,653,69,348,96,589,107,348,96,589,107,305,94,41,52,906,79,305,94,906,79
276,1400000US13051003302,Census Tract 33.02; Chatham County; Georgia,628,110,986,122,628,110,387,60,831,236,387,60,831,236,241,126,54,51,1354,541,241,126,1354,541
277,1400000US13051003400,Census Tract 34; Chatham County; Georgia,1894,200,1185,131,1894,200,1083,186,1036,272,1083,186,1036,272,811,170,121,105,1261,132,811,170,1261,132
278,1400000US13051003501,Census Tract 35.01; Chatham County; Georgia,1237,157,907,105,1237,157,544,184,919,133,544,184,919,133,693,98,26,38,880,185,693,98,880,185
279,1400000US13051003502,Census Tract 35.02; Chatham County; Georgia,1488,221,1186,89,1488,221,749,153,1077,109,749,153,1077,109,739,250,9,15,1271,133,739,250,1271,133
280,1400000US13051003601,Census Tract 36.01; Chatham County; Georgia,1501,228,1081,63,1501,228,577,179,888,144,577,179,888,144,924,228,21,31,1114,47,924,228,1114,47
281,1400000US13051003602,Census Tract 36.02; Chatham County; Georgia,1980,240,1119,54,1980,240,978,242,976,238,978,242,976,238,1002,176,70,66,1177,50,1002,176,1177,50
282,1400000US13051003700,Census Tract 37; Chatham County; Georgia,815,115,1056,82,815,115,355,101,950,150,355,101,950,150,460,109,16,19,1105,87,460,109,1105,87
283,1400000US13051003800,Census Tract 38; Chatham County; Georgia,779,126,1083,152,779,126,520,134,1101,186,520,134,1101,186,259,67,0,14,1043,248,259,67,1043,248
284,1400000US13051003900,Census Tract 39; Chatham County; Georgia,1199,173,1207,187,1199,173,854,169,1078,284,854,169,1078,284,345,142,0,14,1428,323,345,142,1428,323
285,1400000US13051004001,Census Tract 40.01; Chatham County; Georgia,2020,260,1251,116,2020,260,1239,186,1478,149,1239,186,1478,149,781,213,8,15,1081,97,781,213,1081,97
286,1400000US13051004002,Census Tract 40.02; Chatham County; Georgia,1583,309,1277,105,1583,309,549,91,606,170,549,91,606,170,1034,322,15,19,1350,39,1034,322,1350,39
287,1400000US13051004100,Census Tract 41; Chatham County; Georgia,783,200,1168,284,783,200,589,201,990,577,589,201,990,577,194,83,17,24,1355,81,194,83,1355,81
288,1400000US13051004207,Census Tract 42.07; Chatham County; Georgia,1500,189,1181,70,1500,189,579,153,995,325,579,153,995,325,921,141,8,14,1201,59,921,141,1201,59
289,1400000US13051004208,Census Tract 42.08; Chatham County; Georgia,1989,212,1253,89,1989,212,557,141,1027,427,557,141,1027,427,1432,183,19,31,1283,70,1432,183,1283,70
290,1400000US13051004209,Census Tract 42.09; Chatham County; Georgia,1682,292,1235,85,1682,292,306,80,1330,154,306,80,1330,154,1376,305,0,14,1224,90,1376,305,1224,90
291,1400000US13051004210,Census Tract 42.10; Chatham County; Georgia,2179,244,1074,76,2179,244,749,227,866,250,749,227,866,250,1430,173,0,14,1123,81,1430,173,1123,81
292,1400000US13051004211,Census Tract 42.11; Chatham County; Georgia,1906,193,1069,104,1906,193,1515,185,1028,133,1515,185,1028,133,391,151,11,16,1194,164,391,151,1194,164
293,1400000US13051004212,Census Tract 42.12; Chatham County; Georgia,1971,182,1224,80,1971,182,1186,158,1331,143,1186,158,1331,143,785,176,9,14,1174,48,785,176,1174,48
294,1400000US13051004300,Census Tract 43; Chatham County; Georgia,606,144,1644,42,606,144,8,12,-,**,8,12,-,**,598,145,4,6,1708,44,598,145,1708,44
295,1400000US13051004400,Census Tract 44; Chatham County; Georgia,864,127,969,125,864,127,398,140,807,118,398,140,807,118,466,96,33,39,1127,75,466,96,1127,75
296,1400000US13051004500,Census Tract 45; Chatham County; Georgia,1420,206,913,285,1420,206,989,221,780,212,989,221,780,212,431,142,91,65,1312,219,431,142,1312,219
297,1400000US13051010102,Census Tract 101.02; Chatham County; Georgia,1609,222,1344,262,1609,222,926,181,1639,398,926,181,1639,398,683,141,59,47,1188,182,683,141,1188,182
298,1400000US13051010200,Census Tract 102; Chatham County; Georgia,1551,177,1371,140,1551,177,1179,208,1271,166,1179,208,1271,166,372,128,19,29,1606,166,372,128,1606,166
299,1400000US13051010502,Census Tract 105.02; Chatham County; Georgia,1549,376,1228,126,1549,376,704,242,1153,213,704,242,1153,213,845,351,59,50,1291,193,845,351,1291,193
300,1400000US13051010503,Census Tract 105.03; Chatham County; Georgia,812,150,740,224,812,150,391,106,575,176,391,106,575,176,421,145,28,31,1107,233,421,145,1107,233
301,1400000US13051010504,Census Tract 105.04; Chatham County; Georgia,1307,176,1415,90,1307,176,77,65,383,375,77,65,383,375,1230,173,0,14,1441,98,1230,173,1441,98
302,1400000US13051010601,Census Tract 106.01; Chatham County; Georgia,2062,346,782,22,2062,346,824,325,736,50,824,325,736,50,1238,264,64,77,812,86,1238,264,812,86
303,1400000US13051010603,Census Tract 106.03; Chatham County; Georgia,1031,225,1138,38,1031,225,340,97,710,135,340,97,710,135,691,223,21,18,1183,46,691,223,1183,46
304,1400000US13051010701,Census Tract 107.01; Chatham County; Georgia,652,200,1016,489,652,200,321,171,477,211,321,171,477,211,331,195,6,11,1187,109,331,195,1187,109
305,1400000US13051010702,Census Tract 107.02; Chatham County; Georgia,2645,449,1431,113,2645,449,1599,415,1369,152,1599,415,1369,152,1046,416,0,20,1565,202,1046,416,1565,202
306,1400000US13051010703,Census Tract 107.03; Chatham County; Georgia,2307,442,1425,128,2307,442,1467,386,1388,217,1467,386,1388,217,840,392,0,20,1462,184,840,392,1462,184
307,1400000US13051010704,Census Tract 107.04; Chatham County; Georgia,2768,552,1501,190,2768,552,653,280,1909,73,653,280,1909,73,2115,641,0,20,1292,165,2115,641,1292,165
308,1400000US13051010705,Census Tract 107.05; Chatham County; Georgia,1666,345,1611,95,1666,345,1343,358,1589,130,1343,358,1589,130,323,135,0,14,1848,298,323,135,1848,298
309,1400000US13051010706,Census Tract 107.06; Chatham County; Georgia,755,205,1408,116,755,205,626,214,1367,136,626,214,1367,136,129,125,9,19,1939,396,129,125,1939,396
310,1400000US13051010707,Census Tract 107.07; Chatham County; Georgia,1183,177,1718,211,1183,177,889,213,1631,251,889,213,1631,251,294,210,0,14,1707,293,294,210,1707,293
311,1400000US13051010801,Census Tract 108.01; Chatham County; Georgia,1619,245,1350,100,1619,245,991,180,1334,227,991,180,1334,227,628,236,106,68,1362,119,628,236,1362,119
